Name,Yc1314,Yc1415,Yc1516,Yc1617,Ass1516,Ass1617,Asr1314,Asr1415,Asr1516,Asr1617,Og1415,Og1516,Og1617,Og1314,Rc1314,Rc1415,Rc1516,Rc1617,Gf1314,Gf1415,Gf1516,Gf1617,Ge1314,Ge1415,Gr1314,Gr1415,Gr1516,Gr1617,Gv1314,Gv1415,Sf+1314,Sf+1415,Sf1314,Sf1415,Sf1516,Sf1617,Sa1314,Sa1415,Sa1516,Sa1617,Pg1314,Pg1415,Pg1516,Pg1617,P+1314,P+1415,P+1516,P+1617,P-1314,P-1415,P-1516,P-1617,R1314,R1415,R1516,R1617,Pk1516,Pk1617,Ps1314,Ps1415,Ps1516,Ps1617,Team1314,Team1415,Team1516,Team1617
SATALINO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,G,,0,,,,0,,,,Fiorentina
SAU,1,3,,5,,0,1,3,,3,0,,0,0,0,0,,0,6,7,,7,1,2,0,0,,0,1,2,6.52,6.76,6.48,6.65,,6.54,5.86,5.93,,5.91,28,27,,34,0,0,,0,0,0,,0,F,F,,F,,0,0,0,,0,CAGLIARI,CAGLIARI,,Cagliari
SAVIC,5,4,,,,,0,1,,,1,,,0,0,1,,,0,2,,,0,0,0,0,,,0,1,5.81,5.91,5.81,5.88,,,5.89,5.84,,,31,29,,,0,0,,,0,0,,,D,D,,,,,0,0,,,FIORENTINA,FIORENTINA,,
SAVIOLA,,0,,,,,,2,,,0,,,,,0,,,,1,,,,0,,0,,,,1,,6.5,,6.3,,,,6,,,,10,,,,0,,,,0,,,,F,,,,,,0,,,,VERONA,,
SBRISSA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Sassuolo
SCALONI,0,0,,,,,0,0,,,0,,,0,0,0,,,0,0,,,0,0,0,0,,,0,0,5.9,5.83,5.9,5.83,,,5.9,5.83,,,5,3,,,0,0,,,0,0,,,D,D,,,,,0,0,,,ATALANTA,ATALANTA,,
SCAMACCA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,F,,0,,,,0,,,,Sassuolo
SCHELOTTO,3,4,,,,,1,0,,,0,,,0,0,0,,,5,0,,,1,0,0,0,,,0,0,6.54,5.74,6.5,5.74,,,5.91,5.81,,,23,29,,,0,0,,,0,0,,,M,M,,,,,0,0,,,PARMA,CHIEVO,,
SCHIATTARELLA,8,,,,,,2,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.91,,5.79,,,,6.03,,,,17,,,,0,,,,0,,,,M,,,,,,0,,,,LIVORNO,,,
SCHICK,,,,2,,0,,,,3,,,0,,,,,0,,,,11,,,,,,0,,,,,,,,7.45,,,,6.24,,,,29,,,,0,,,,0,,,,F,,0,,,,0,,,,Sampdoria
